Course_Name,Taught_in_English
Computer Programming Lab.II Teaching in English 智慧製造學程,True
Computer ProgrammingI,False
Computer ProgrammingI Teaching in English,True
Computer ProgrammingI 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 互動多媒體微學程 互動多媒體學程 智慧校園與智慧照護學程,False
Computer ProgrammingII,False
Computer ProgrammingII Teaching in English 人工智慧投資管院 人工智慧投資學程,True
Computer ProgrammingII 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 互動多媒體微學程 互動多媒體學程,False
Computer Vision Teaching in English,True
Computer Vision Teaching in English 人工智慧「智慧視覺分析」微學程 人工智慧「電腦輔助診斷應用」微學程 人工智慧學程 智慧生醫學程,True
Computer-Aided Drafting,False
Computer-Assisted Language Learning and Computer Literacy Teaching in English,True
Contemporary Art,False
Contemporary Sketch,False
Corporate Finance Teaching in English,True
Corporate Governance and Corporate Sustainability,False
Corporate Innovation and Creative Thinking,False
Creative Media Practice,False
Creative Thinking and Problem Solving,False
Creative Writing of Modern Chinese Literature,False
Creativity Techniques 互動媒體學程 含微學程,False
Cross-Media Integration,False
Cryptography Teaching in English,True
Cultural Creativity and Placemaking,False
Cultural Relics and Literature 人文素養與多元創意微學程,False
Cultural and Creative Industries Teaching in English,True
Culture of Historic Monuments and Local Lives,False
Cybersecurity Teaching in English,True
Cycling,False
Data Analysis and Business Decision,False
Data Analytics and Disruptive Technologies Teaching in English,True
Data Mining Teaching in English,True
Data Mining and Its Applications in Biomedical Domains,False
Data Mining 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 人工智慧與金融科技微學程 人工智慧與金融科技學程 智慧校園與智慧照護學程,False
Data Science Teaching in English,True
Data Structure,False
Data Structures,False
Data Structures 人工智慧與生物資訊微學程 人工智慧與生物資訊學程 互動多媒體微學程 互動多媒體學程,False
Data Structures 物聯網學程 智慧生醫學程 數位科技應用學程,False
Database Systems,False
Decision Analysis,False
Decision Support Systems Teaching in English,True
Deep Learning,False
Deep Learning Teaching in English 人工智慧學程 數位科技應用學程,True
Deep Learning and its Vision Applications,False
Deep Learning 人工智慧與金融科技微學程 人工智慧與金融科技學程,False
Design History,False
Design StudioI 人因工程與設計 另類DIY文創微學程,False
Design StudioII,False
Design for Experimental,False
Designing Wearable Technology I Teaching in English,True
Digital Applications in Humanities I,False
Digital Applications in Humanities II,False
