Course_Code,Course_Name,Taught_in_English,Total_Sections,Sections
CM108,Management 休閒旅遊管理產業學程 科技與社會微學程 通訊產業與管理學程（電通學院） 通訊產業與管理學程（管院） 電子化企業學程 數位應用與管理產業學程,False,1,A1
CM113,The Commercial Law,True,9,"A, B, C, D, E, F, G, H, I"
CM114,Ethical Decisions and Corporate Social Responsibility 人文素養與多元創意微學程,False,4,"A, B, C, D"
CM115,Introduction to Computer Software and Applications Teaching in English,True,2,"G, H"
CM117,Mathematics for Management,False,1,C
CM120,English for Business Studies Teaching in English,True,1,A
CM203,Marketing Management 文創產業與管理微學程 文創產業與管理學程（人社院） 文創產業與管理學程（管院） 休閒旅遊管理產業學程 老人福祉科技跨域產業學程 金融服務業產業學程 通訊產業與管理學程（電通學院） 通訊產業與管理學程（管院） 跨文化行銷與溝通管院 跨文化行銷與溝通學程 電子化企業學程 零售產業與管理學程 數位應用與管理產業學程 醫療產業服務與行銷管理學程,True,9,"A, B, C, D, E, F, G, H, I"
CM508,Operations Management,False,1,A
CM509,Innovation and Technology Management,False,1,A
CM511,Business Research Methods Teaching in English,True,1,E
CM524,Empirical Finance Teaching in English,True,1,S1
CM525,Corporate Finance Teaching in English,True,1,S1
CM529,Advanced Managerial Accounting,False,1,S2
CM537,Network Analysis,False,1,A
CM538,Modeling and Analysis for Managerial Decision Making Teaching in English,True,1,E
CM541,Project Management,False,1,A
CM565,International Human Resource Management Teaching in English,True,1,E
CM574,Seminar on Audit Profession,False,1,S2
CM591,High-Tech Business Management,False,1,C
CM614,Accounting Seminar,False,1,S2
CM620,Transnational Management,False,1,C
CM629,Service Industry Management,False,1,C
CM633,Fixed Income Security Analysis,False,1,S1
CM636,Case Study in Finance,False,1,S1
CM647,Managerial Finance Teaching in English,True,2,"M1, M2"
CM686,International Finance and Trade Teaching in English,True,1,E
CM702,Strategic Thinking and Problem Solving,False,1,B
CM704,International Mobile Learning,False,1,B1
CM710,Big Data Analytics in Marketing,False,1,D
CM720,Organizational Behavior Theory and Practice Teaching in English,True,2,"M1, M2"
CM721,Marketing Strategy Teaching in English,True,2,"M1, M2"
CM722,Business Strategy Planning and Practice Teaching in English,True,2,"M1, M3"
CM724,Case Study Methodology in Business Research,False,1,B
CM725,Special Topics in Cultural Diversity Teaching in English,True,1,E
CM726,Local Culture and Business Application Teaching in English,True,1,E
CM733,Seminar on Finance II,False,1,S1
