Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH105,A,普通化學暨分析實驗,General Chemistry & Analysis Laboratory,Department Compulsory Courses,王清海,,"206 ,2206 207 ,2206 208 ,2206"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH105,B,普通化學暨分析實驗,General Chemistry & Analysis Laboratory,Department Compulsory Courses,王清海,,"506 ,2206 507 ,2206 508 ,2206"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH125,A,化工與材科概論,Introduction to Chemical Engineering & Material Science,Department Compulsory Courses,吳和生,Ho-Shing Wu,"106 ,2008 107 ,2008 108 ,2008"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH128,A,普通物理（一）,General PhysicsI,Department Compulsory Courses,傅薈如,,"301 ,2112 403 ,2112 404 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH128,B,普通物理（一）,General PhysicsI,Department Compulsory Courses,傅薈如,,"302 ,2112 401 ,2112 402 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH130,A,微積分（一）,CalculusI,Department Compulsory Courses,洪逸明,I-Ming Hung,"203 ,2112 204 ,2112 502 ,2112"
"Department of Chemical Engineering and Materials Science(Undergraduate Program), Freshmen",CH130,B,微積分（一）,CalculusI,Department Compulsory Courses,洪逸明,I-Ming Hung,"201 ,2112 202 ,2112 503 ,2112"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS106,A,程式設計（一）,Computer ProgrammingI *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *互動多媒體微學程 *互動多媒體學程 *智慧校園與智慧照護學程,Department Compulsory Courses,林基成,Ji-Cherng Lin,"109 ,1401B 203 ,1401B 204 ,1401B"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS106,B,程式設計（一）,Computer ProgrammingI *人工智慧與生物資訊微學程 *人工智慧與生物資訊學程 *人工智慧與金融科技微學程 *人工智慧與金融科技學程 *互動多媒體微學程 *互動多媒體學程 *智慧校園與智慧照護學程,Department Compulsory Courses,陳尚寬,Shang-Kuan Chen,"109 ,60105 203 ,60105 204 ,60105"
"Department of Computer Science and Engineering(Undergraduate Program), Freshmen",CS140,A,資訊概論,Introduction to Computer Science *計算機軟硬系統設計與整合微學程 *計算機軟硬系統設計與整合學程,Department Compulsory Courses,王任瓚,Ran-Zan Wang,"403 ,60104 404 ,60104 502 ,60104"
