Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Senior",FL475,A,畢業專題（一）,Graduation Project I,Department Compulsory Courses,系主任等,,
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Senior",FL476,A,畢業專題（二）,Graduation Project II,Department Compulsory Courses,系主任等,,
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL156,A,日文課外閱讀,Japanese Outside Reading,Department Elective Courses,廖秀娟,Hsiu-Chuan Liao,
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL242,A,英文課外閱讀（三）,English Outside ReadingIII,Department Elective Courses,柯宜中,I-Chung Ke,
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL243,A,英文課外閱讀（四）,English Outside ReadingIV,Department Elective Courses,柯宜中,I-Chung Ke,
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL252,A,日語（三）,Japanese III,Department Compulsory Courses,吳翠華,Tsui-Hua Wu,"106 ,5730 107 ,5730 303 ,2102 304 ,2102"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL254,A,日語演說（一）,Japanese Speech I,Department Compulsory Courses,廖秀娟,Hsiu-Chuan Liao,"207 ,5709 208 ,5709"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL254,B,日語演說（一）,Japanese Speech I,Department Compulsory Courses,廖秀娟,Hsiu-Chuan Liao,"209 ,5709 210 ,5709"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL256,A,日語習作（一）,Japanese Writing Practice I,Department Compulsory Courses,廖秀娟,Hsiu-Chuan Liao,"403 ,5709"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL256,B,日語習作（一）,Japanese Writing Practice I,Department Compulsory Courses,廖秀娟,Hsiu-Chuan Liao,"404 ,5709"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL261,A,日語讀解入門,Introduction to Reading Skills in Japanese,,林淑璋,Shu-Chang Lin,"309 ,5730 310 ,5730"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL267,A,英文實用寫作,Practical English Writing *Teaching in English,Department Compulsory Courses,柯宜中,I-Chung Ke,"103 ,5730 104 ,5730"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL303,A,西洋文學概論（一）,Introduction to Western LiteratureI *Teaching in English *文化產業微學程 *文化產業學程（學士班） *文創產業與管理微學程 *文創產業與管理學程（人社院） *文創產業與管理學程（管院）,,高健毓,,"108 ,5708 109 ,5708"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL341,A,英語教材與活動設計,English Teaching Materials and Activities *Teaching in English,,陳育琳,,"406 ,5734 407 ,5734"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL352,A,日本文化,Japanese Culture *文化產業微學程 *文創產業與管理微學程 *文創產業與管理學程（人社院） *文創產業與管理學程（管院）,,吳翠華,Tsui-Hua Wu,"203 ,5730 204 ,5730"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL373,A,演說與辯論,Speech and Debate *Teaching in English,Department Compulsory Courses,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"209 ,1204 210 ,1204"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL373,B,演說與辯論,Speech and Debate *Teaching in English,Department Compulsory Courses,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"207 ,1204 208 ,1204"
"Department of Foreign Languages and Applied Linguistics(Undergraduate Program) , Sophomore",FL396,A,經濟學入門,Introduction of Economics *Teaching in English,,陳正和,Jeng-Her Chen,"307 ,5733 308 ,5733"
"Department of Chinese Linguistics and Literature(Undergraduate Program), Freshmen",CC125,A,讀書指導,Reading Guidance,Department Compulsory Courses,何威萱,WEI-HSUAN HO,"202 ,5103 203 ,5103 204 ,5103"
"Department of Chinese Linguistics and Literature(Undergraduate Program), Freshmen",CC132,A,文學概論,Introduction to Chinese Literature,Department Elective Courses,顏樞,YEN SHU,"406 ,5103 407 ,5103 408 ,5103"
"Department of Chinese Linguistics and Literature(Undergraduate Program), Freshmen",CC377,A,國畫（一）,Chinese Painting一,Department Elective Courses,莊壹竹,,"308 ,2010 309 ,2010"
"Department of Chinese Linguistics and Literature(Undergraduate Program), Freshmen",CC484,A,簡報設計概論與實務,Brief Design Introduction and Application,Department Elective Courses,顏樞,YEN SHU,"206 ,5003 207 ,5003"
"Department of Chinese Linguistics and Literature(Undergraduate Program), Freshmen",CC487,A,現代文學創意習作,Creative Writing of Modern Chinese Literature,Department Compulsory Courses,李翠瑛,Tsui-Ying Lee,"402 ,2104 403 ,2104 404 ,2104"
"Department of Chinese Linguistics and Literature(Undergraduate Program), Freshmen",CC487,B,現代文學創意習作,Creative Writing of Modern Chinese Literature,Department Compulsory Courses,洪士惠,,"402 ,5733 403 ,5733 404 ,5733"
"Department of Chinese Linguistics and Literature(Undergraduate Program), Freshmen",CC489,A,導覽解說實務,Practical Guided Tour Interpretation,Department Elective Courses,黃智明,,"108 ,5006 109 ,5006"
"Department of Art and Design(Undergraduate Program), Freshmen",AD115,A,設計創作（一）,Design StudioI *人因工程與設計 *另類DIY文創微學程,Department Compulsory Courses,徐顥,HAW HSU,"207 ,3424 208 ,3424 209 ,3424"
"Department of Art and Design(Undergraduate Program), Freshmen",AD115,B,設計創作（一）,Design StudioI *人因工程與設計 *另類DIY文創微學程,Department Compulsory Courses,羅嘉惠,"Chia-Hua,Lo","207 ,3426 208 ,3426 209 ,3426"
"Department of Art and Design(Undergraduate Program), Freshmen",AD115,C,設計創作（一）,Design StudioI *人因工程與設計 *另類DIY文創微學程,Department Compulsory Courses,巫銘紘,WU MING HONG,"207 ,3428 208 ,3428 209 ,3428"
"Department of Art and Design(Undergraduate Program), Freshmen",AD117,A,藝術創作（一）,Art StudioI,Department Compulsory Courses,王弘志,,"407 ,3424 408 ,3424 409 ,3424"
"Department of Art and Design(Undergraduate Program), Freshmen",AD117,B,藝術創作（一）,Art StudioI,Department Compulsory Courses,林冠名,,"407 ,3214 408 ,3214 409 ,3214"
"Department of Art and Design(Undergraduate Program), Freshmen",AD117,C,藝術創作（一）,Art StudioI,Department Compulsory Courses,邱杰森,"Chiu,Chieh-Sen","407 ,3428 408 ,3428 409 ,3428"
"Department of Art and Design(Undergraduate Program), Freshmen",AD149,A,肢體美學,Body Aesthetics,Department Elective Courses,王珩,Heng Wang,"202 ,體育場地 203 ,體育場地 204 ,體育場地"
"Department of Art and Design(Undergraduate Program), Freshmen",AD153,A,素描,Drawing,Department Elective Courses,王弘志,,"307 ,8702 308 ,8702 309 ,8702"
"Department of Art and Design(Undergraduate Program), Freshmen",AD250,A,設計電腦繪圖（一）,2D Computer Drawing *Teaching in English,Department Compulsory Courses,羅嘉惠,"Chia-Hua,Lo","506 ,3211 507 ,3211 508 ,3211"
"Department of Foreign Languages and Applied Linguistics, Master's Program(Master Program) , First Year",FL509,A,社會語言學,Sociolinguistics *Teaching in English,Department Elective Courses,何凱洛,HERNANDEZ MERCADO CARLOS,"502 ,5710 503 ,5710 504 ,5710"
"Department of Foreign Languages and Applied Linguistics, Master's Program(Master Program) , First Year",FL511,B,研究方法,Research Methodologies,Department Compulsory Courses,廖秀娟,Hsiu-Chuan Liao,"211 ,5710 212 ,5710 213 ,5710"
"Department of Foreign Languages and Applied Linguistics, Master's Program(Master Program) , First Year",FL531,B,日本兒童文學,Japanese Children's Literature,Department Elective Courses,吳翠華,Tsui-Hua Wu,"311 ,5710 312 ,5710 313 ,5710"
"Department of Foreign Languages and Applied Linguistics, Master's Program(Master Program) , First Year",FL563,A,英文寫作,English Writing *Teaching in English,Department Compulsory Courses,林佳燕,Chia-Yen Lin,"402 ,5710 403 ,5710 404 ,5710"
"Department of Foreign Languages and Applied Linguistics, Master's Program(Master Program) , First Year",FL568,A,網路教材設計與應用,Applications of Online Resources to Teach English *Teaching in English,Department Elective Courses,中澤一亮,KAZUAKI NAKAZAWA,"202 ,5734 203 ,5734 204 ,5734"
"Department of Foreign Languages and Applied Linguistics, Master's Program(Master Program) , First Year",FL572,B,日文電腦軟體應用與實作,Computer Applications for Academic Writing in Japanese,Department Elective Courses,薛芸如,Yun-Ju Hsueh,"411 ,5710 412 ,5710 413 ,5710"
"Department of Foreign Languages and Applied Linguistics, Master's Program(Master Program) , First Year",FL594,A,文化創意產業,Cultural and Creative Industries *Teaching in English,Department Elective Courses,陳怡蓁,Yi-Chen Chen,"302 ,5710 303 ,5710 304 ,5710"
"Department of Chinese Linguistics and Literature(Master Program) , First Year",CC523,A,中國歷代思想專題,Special Topics in Chinese Thoughts,Department Elective Courses,胡順萍,Shun-Ping Hu,"106 ,5630 107 ,5630 108 ,5630"
"Department of Chinese Linguistics and Literature(Master Program) , First Year",CC562,A,華人文化專題,Special Topics on Chinese Culture,Department Elective Courses,何威萱,WEI-HSUAN HO,"206 ,5630 207 ,5630 208 ,5630"
"Department of Chinese Linguistics and Literature(Master Program) , First Year",CC569,A,研究方法,Research Methodology,Department Compulsory Courses,洪士惠,,"102 ,5630 103 ,5630 104 ,5630"
"Department of Chinese Linguistics and Literature(Master Program) , First Year",CC570,A,族群語言與文化專題,Special Topics on Ethnic Languages and Culture,Department Elective Courses,徐富美,Fu-mei Hsu,"307 ,5630 308 ,5630 309 ,5630"
"Master Program in Art and Design Management, Department of Art and Design(Master Program) , First Year",AM556,A,藝術策展,Exhibition and Curator,Department Compulsory Courses,鄒淑慧,Shwu-Huoy Tzou,"106 ,3210 107 ,3210 108 ,3210"
"Master Program in Art and Design Management, Department of Art and Design(Master Program) , First Year",AM613,A,研究方法與論文寫作,Research Methodology and Paper Writing,Department Compulsory Courses,龔詩文,Shih-Wen Kung,"402 ,2602 403 ,2602 404 ,2602"
"Master Program in Art and Design Management, Department of Art and Design(Master Program) , First Year",AM654,A,博物館發展與當代議題,Museum development and current issues,Department Elective Courses,曾肅良,)、龔詩文(Shih-Wen Kung,"307 ,5103 308 ,5103 309 ,5103"
"Master Program in Art and Design Management, Department of Art and Design(Master Program) , First Year",AM657,A,藝術與文化產業,Art and Cultural Industry *創新產品開發學程 *創新產品開發學程,Department Elective Courses,黃琬雯,WAN-WEN HUANG,"406 ,3212 407 ,3212 408 ,3212"
"Master Program in Art and Design Management, Department of Art and Design(Master Program), Second Year",AM582,A,藝術與設計創作執行（一）,Art and Design Creation ExecutionI,Department Compulsory Courses,龔詩文,Shih-Wen Kung,"207 ,3210 208 ,3210"
"Master Program in Art and Design Management, Department of Art and Design(Master Program), Second Year",AM603,A,視覺藝術管理,Visual Arts Administration,Department Elective Courses,龔詩文,Shih-Wen Kung,"506 ,3214 507 ,3214 508 ,3214"
"Master Program in Art and Design Management, Department of Art and Design(Master Program), Second Year",AM622,A,當代藝術,Contemporary Art,Department Compulsory Courses,鄒淑慧,Shwu-Huoy Tzou,"202 ,3210 203 ,3210 204 ,3210"
"Department of Social and Policy Sciences(Master Program) , First Year",SC501,A,社會學理論,Sociological Theory,Department Compulsory Courses,陳怡蒨,"I-Chien,Chen","302 ,5732 303 ,5732 304 ,5732"
"Department of Social and Policy Sciences(Master Program) , First Year",SC515,B,質性研究,Qualitative Research,,王佳煌,Chia-Huang Wang,"211 ,5732 212 ,5732 213 ,5732"
"Department of Social and Policy Sciences(Master Program) , First Year",SC516,B,調查研究,Survey Research,,陳怡蒨,"I-Chien,Chen","111 ,5732 112 ,5732 113 ,5732"
"Department of Social and Policy Sciences(Master Program) , First Year",SC550,A,社會統計專題,Special Topics on Social Statistics,Department Compulsory Courses,李俊豪,Chun-Hao Li,"307 ,5732 308 ,5732 309 ,5732"
"Department of Social and Policy Sciences(Master Program) , First Year",SC554,B,永續發展與企業社會責任專題,Selected Topics in Sustainability and Corporate Social Responsibility,Department Elective Courses,陳勁甫,Ching-Pu Chen,"311 ,5606 312 ,5606 313 ,5606"
"Department of Social and Policy Sciences(Master Program) , First Year",SC562,A,公共行政專題,Special Topics on Public Administration,Department Elective Courses,吳正中,,"406 ,5732 407 ,5732 408 ,5732"
"Department of Social and Policy Sciences(Master Program) , First Year",SC564,A,社會企業專題,Selected Topics in Social Enterprise,Department Elective Courses,彭俊亨,"PENG,CHUN-HENG","202 ,5732 203 ,5732 204 ,5732"
"Department of Social and Policy Sciences(Master Program) , First Year",SC572,A,醫療與健康專題,Special Topics on Medical Care and Health,Department Elective Courses,劉宜君,I-Chun Liu,"207 ,5606 208 ,5606 209 ,5606"
"Department of Social and Policy Sciences(Master Program) , First Year",SC579,B,人口研究與政策專題,Special topics on Population Studies and Policies,Department Elective Courses,王盈婷,Ying-Ting Wang,"411 ,5606 412 ,5606 413 ,5606"
"Doctor of Philosophy in Cultural Industries and Cultural Policy(Ph.D. Program) , First Year",IP001,A,文化產業理論與政策專題研究,Seminar on Cultural Industries: Theories and Policies,Department Compulsory Courses,彭俊亨,"PENG,CHUN-HENG","206 ,5501 207 ,5501 208 ,5501"
"Doctor of Philosophy in Cultural Industries and Cultural Policy(Ph.D. Program) , First Year",IP032,A,文化治理與政策專題研究,Seminar in Cultural Governance and Policy,Department Elective Courses,彭俊亨,"PENG,CHUN-HENG","302 ,5501 303 ,5501 304 ,5501"
"Doctor of Philosophy in Cultural Industries and Cultural Policy(Ph.D. Program) , Second Year",IP027,A,社區族群與地方特色產業專題研究,"Seminar in Community, Ethnics, and the Sixth Industries",Department Compulsory Courses,陳巍仁,)、李翠瑛(Tsui-Ying Lee,"106 ,5509 107 ,5509 108 ,5509"
"Doctor of Philosophy in Cultural Industries and Cultural Policy(Ph.D. Program) , Second Year",IP030,A,歐美文化與創意產業專題研究,Seminar in Europe Culture and Creative Industries,Department Elective Courses,傅子耕,)林柏奇(Po-Chi Lin,"202 ,5606 203 ,5606 204 ,5606"
"College of Informatics(Master Program), Second Year",CI001,D2,基礎程式設計-C++實習（一）,Fundamental Computer Programming- C++ LabI *Teaching in English,,IHSAN ULLAH,伊桑,"201 ,1008 202 ,1008"
"Department of Information Management(Undergraduate Program), Freshmen",IM112,A,計算機概論,Basic Computer Concepts,Department Compulsory Courses,謝瑞建,Jui-Chien Hsieh,"106 ,1501A 107 ,1501A 108 ,1501A"
"Department of Information Management(Undergraduate Program), Freshmen",IM112,B,計算機概論,Basic Computer Concepts,Department Compulsory Courses,謝瑞建,Jui-Chien Hsieh,"402 ,1102 403 ,1102 404 ,1102"
"Department of Information Management(Undergraduate Program), Freshmen",IM119,A1,程式設計（一）,ProgrammingI *資訊安全微學程 *數據分析微學程,Department Compulsory Courses,林志麟,Jun-Lin Lin,"402 ,60406 403 ,60406 404 ,60406 508 ,1619 509 ,1619"
"Department of Information Management(Undergraduate Program), Freshmen",IM119,B,程式設計（一）,ProgrammingI *資訊安全微學程 *數據分析微學程,Department Compulsory Courses,郭文嘉,Wen-Jia Kuo,"106 ,1501B 107 ,1501B 108 ,1501B 506 ,1619 507 ,1619"
"Department of Information Management(Undergraduate Program), Freshmen",IM122,A,經濟學,Economics,Department Compulsory Courses,葉佳炫,Chia-Hsuan Yeh,"302 ,70103 303 ,70103 304 ,70103"
"Department of Information Management(Undergraduate Program), Freshmen",IM127,A,微積分（含演習）（一）,CalculusⅠ,Department Compulsory Courses,葉佳炫,Chia-Hsuan Yeh,"102 ,70103 103 ,70103 104 ,70103 209 ,70103"
"Department of Information Management(Undergraduate Program), Freshmen",IM409,C,資訊與法律,Information and Law *電子化供應鏈,Department Elective Courses,曾淑芬,Shu-Fen Tseng,"307 ,1501B 308 ,1501B 309 ,1501B"
"Department of Information Management(Undergraduate Program) , Sophomore",IM214,A,資料結構,Fundamental of Data Structures,Department Compulsory Courses,劉俞志,Yu-Chih Liu,"202 ,1501B 203 ,1501B 204 ,1501B 406 ,1619"
"Department of Information Management(Undergraduate Program) , Sophomore",IM214,B,資料結構,Fundamental of Data Structures,Department Compulsory Courses,楊錦生,Chin-Sheng Yang,"210 ,1619 402 ,1501B 403 ,1501B 404 ,1501B"
"Department of Information Management(Undergraduate Program) , Sophomore",IM216,A,離散數學,Discrete Mathematics,Department Compulsory Courses,龐金宗,Chin-Tzong Pang,"402 ,1501A 403 ,1501A 404 ,1501A"
"Department of Information Management(Undergraduate Program) , Sophomore",IM216,B,離散數學,Discrete Mathematics,Department Compulsory Courses,吳志揚,Jyh-Yang Wu,"202 ,1501A 203 ,1501A 204 ,1501A"
"Department of Information Management(Undergraduate Program) , Sophomore",IM231,A,統計學（一）,StatisticsⅠ,Department Compulsory Courses,葉佳炫,Chia-Hsuan Yeh,"401 ,70103 502 ,70103 503 ,70103 504 ,70103"
"Department of Information Management(Undergraduate Program) , Sophomore",IM236,C,數據分析導論,Introduction to Data Analytics *「社會數據分析」跨領域微學程 *數據分析微學程,Department Elective Courses,陸承志,Cheng-Jye Luh,"106 ,1619 107 ,1619 108 ,1619"
"Department of Information Management(Undergraduate Program) , Sophomore",IM241,C,數位行銷實務,Digital Marketing in Practice *電子化企業學程,Department Elective Courses,吳思佩,CELESTE SEE-PUI NG,"407 ,1113 408 ,1113 409 ,1113"
"Department of Information Management(Undergraduate Program) , Sophomore",IM242,A,企業概論,Introduction to Business Management *電子化企業學程,Department Compulsory Courses,李婷,Ting Lie,"506 ,1501A 507 ,1501A 508 ,1501A"
"Department of Information Management(Undergraduate Program) , Sophomore",IM242,B,企業概論,Introduction to Business Management *電子化企業學程,Department Compulsory Courses,張國忠,Kuochung Chang,"507 ,1501B 508 ,1501B 509 ,1501B"
"Department of Information Management(Undergraduate Program) , Sophomore",IM323,C,資訊網路,Computer Networks *資訊安全微學程,Department Elective Courses,王仁甫,"Jen Fu ,Wang","302 ,1619 303 ,1619 304 ,1619"
"Department of Information Communication(Undergraduate Program), Freshmen",IC116,A,攝影學,Photography,Department Elective Courses,張世明,Shih Ming Chang,"307 ,3302 308 ,3302 309 ,3302"
"Department of Information Communication(Undergraduate Program), Freshmen",IC145,A,藝術基礎（一）：素描,Fundamentals of ArtsI: Drawing,Department Compulsory Courses,陳麗秋,Li-Chiou Chen,"101 ,5館5F 102 ,5館5F 103 ,5館5F 104 ,5館5F"
"Department of Information Communication(Undergraduate Program), Freshmen",IC151,A,設計概論,Introduction to Design Principles *Teaching in English,Department Compulsory Courses,陳彥彰,"CHEN,YEN-CHANG","406 ,70205 407 ,70205 408 ,70205"
"Department of Information Communication(Undergraduate Program), Freshmen",IC151,B,設計概論,Introduction to Design Principles *Teaching in English,Department Compulsory Courses,陳彥彰,"CHEN,YEN-CHANG","106 ,70105 107 ,70105 108 ,70105"
"Department of Information Communication(Undergraduate Program), Freshmen",IC175,A,設計史,Design History,Department Compulsory Courses,陳麗秋,Li-Chiou Chen,"506 ,3110 507 ,3110 508 ,3110"
"Department of Information Communication(Undergraduate Program), Freshmen",IC181,A,資訊概論,Introduction to Computer Science *Teaching in English,Department Compulsory Courses,張家榮,,"106 ,3103 107 ,3103 108 ,3103"
"Department of Information Communication(Undergraduate Program), Freshmen",IC181,B,資訊概論,Introduction to Computer Science *Teaching in English,Department Compulsory Courses,張家榮,,"406 ,3103 407 ,3103 408 ,3103"
"Department of Information Communication(Undergraduate Program), Freshmen",IC184,A,程式設計（一）,Computer ProgrammingI,Department Compulsory Courses,方文聘,,"302 ,70101 303 ,70101 304 ,70101"
"Department of Information Communication(Undergraduate Program), Freshmen",IC212,A,程式設計,Computer Programming,Department Compulsory Courses,趙伯堯,,"302 ,5409 303 ,5409 304 ,5409"
"Department of Information Communication(Undergraduate Program), Freshmen",IC224,A,普通物理學,General Physics,Department Elective Courses,張德仁,Te-Jen Chang,"102 ,3101 103 ,3101 104 ,3101"
"Department of Information Communication(Undergraduate Program), Freshmen",IC286,A,程式設計實習（一）,Computer Programming Lab.I,Department Compulsory Courses,方文聘,,"506 ,5409 507 ,5409"
"Department of Information Communication(Undergraduate Program), Freshmen",IC286,B,程式設計實習（一）,Computer Programming Lab.I,Department Compulsory Courses,方文聘,,"508 ,5409 509 ,5409"
"Department of Information Communication(Undergraduate Program), Freshmen",IC287,A,微積分概論,Introduction to Calculus,Department Elective Courses,鄧進宏,Chin-Hung Teng,"109 ,3107 403 ,3107 404 ,3107"
"Department of Information Communication(Undergraduate Program), Freshmen",IC336,A,程式設計實習,Computer Programming Lab.,Department Compulsory Courses,趙伯堯,,"402 ,5409 403 ,5409 404 ,5409"
"Department of Information Communication(Undergraduate Program), Freshmen",IC362,A,智慧財產權,Intellectual Property,Department Elective Courses,葉志良,Chih-Liang Yeh,"307 ,70102 308 ,70102 309 ,70102"
"Department of Information Communication(Undergraduate Program) , Junior",IC294,A,穿戴式科技設計 （一）,Designing Wearable Technology I *Teaching in English,Department Elective Courses,陳昱錡,"Chen,Yu-Chi","502 ,3302 503 ,3302 504 ,3302"
"Department of Information Communication(Undergraduate Program) , Junior",IC296,A,創意媒體實務應用,Creative Media Practice,Department Elective Courses,陳彥彰,"CHEN,YEN-CHANG","303 ,3302 304 ,3302"
"Department of Information Communication(Undergraduate Program) , Junior",IC322,A,影視製作專題,Advanced Film and Video Production Workshop,Department Elective Courses,張世明,Shih Ming Chang,"402 ,3302 403 ,3302 404 ,3302"
"Department of Information Communication(Undergraduate Program) , Junior",IC337,A,3D電腦動畫,3D Computer Animation,Department Elective Courses,張家豪,)、張世明(Shih Ming Chang,"207 ,5409 208 ,5409 209 ,5409"
"Department of Information Communication(Undergraduate Program) , Junior",IC344,A,人機互動實務,Human Computer Interaction Application *Teaching in English,Department Elective Courses,陳昱錡,"Chen,Yu-Chi","102 ,60310 103 ,60310 104 ,60310"
"Department of Information Communication(Undergraduate Program) , Junior",IC346,A,虛擬實境,Virtual Reality *Teaching in English *互動媒體學程 含微學程,Department Elective Courses,張韶宸,,"106 ,60310 107 ,60310 108 ,60310"
"Department of Information Communication(Undergraduate Program) , Junior",IC347,A,影視視覺特效,Visual Effects for Film and Video,Department Elective Courses,張世明,Shih Ming Chang,"202 ,60310 203 ,60310 204 ,60310"
"Department of Information Communication(Undergraduate Program) , Junior",IC348,A,資訊傳播科技創新應用,Topics on ICT & Innovation,Department Elective Courses,王小惠,Hsiao-Hui Wang,"406 ,5410 407 ,5410 408 ,5410"
"Department of Information Communication(Undergraduate Program) , Junior",IC349,A,使用者介面設計,User-Interface Design *互動多媒體微學程 *互動多媒體學程,Department Elective Courses,黃絜如,,"307 ,5409 308 ,5409 309 ,5409"
"Department of Information Communication(Undergraduate Program) , Senior",IC401,A,專業實習（一）,Internship Ⅰ,Department Compulsory Courses,張韶宸,,
"Department of Information Communication(Undergraduate Program) , Senior",IC401,B,專業實習（一）,Internship Ⅰ,Department Compulsory Courses,陳彥彰,"CHEN,YEN-CHANG",
"Department of Information Communication(Undergraduate Program) , Senior",IC454,A,資訊傳播專題（一）,Seminar on Information CommunicationI,Department Elective Courses,黃絜如,)、方文聘(,
"Department of Information Communication(Undergraduate Program) , Senior",IC464,A,專題製作（一）,Field StudyI,Department Compulsory Courses,系主任等,,
"Department of Information Communication(Undergraduate Program) , Senior",IC464,B,專題製作（一）,Field StudyI,Department Compulsory Courses,系主任等,,
"Department of Information Communication(Undergraduate Program) , Sophomore",IC172,A,資料結構,Data Structure,Department Compulsory Courses,趙伯堯,,"102 ,5409 103 ,5409 104 ,5409"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC194,A,動畫概論,Principles of Animation,Department Compulsory Courses,張世明,Shih Ming Chang,"502 ,60310 503 ,60310 504 ,60310"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC205,A,電腦繪圖,Computer Graphics Design,Department Compulsory Courses,黃絜如,,"106 ,5409 107 ,5409 108 ,5409"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC225,A,互動腳本製作,Interactive Script Production,Department Elective Courses,張弘毅,Hong-I Chang,"406 ,3302 407 ,3302 408 ,3302"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC238,A,視窗應用程式設計,Windows Programming,Department Compulsory Courses,鄧進宏,Chin-Hung Teng,"502 ,5409 503 ,5409 504 ,5409"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC242,A,電玩企劃,Game Planning,Department Elective Courses,陳昱錡,"Chen,Yu-Chi","302 ,3304 303 ,3304 304 ,3304"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC249,A,文創產業個案,Case Study on Cultural Industries,Department Elective Courses,王小惠,Hsiao-Hui Wang,"402 ,5410 403 ,5410 404 ,5410"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC275,A,Ｊａｖａ程式設計,Java Programming,Department Elective Courses,方文聘,,"202 ,5409 203 ,5409 204 ,5409"
"Department of Information Communication(Undergraduate Program) , Sophomore",IC350,B,科技行銷,Marketing Technology,Department Elective Courses,王小惠,Hsiao-Hui Wang,"307 ,5410 308 ,5410 309 ,5410"
"I  , Freshmen",IN101,A1,微積分（一）,CalculusI *Teaching in English,Department Compulsory Courses,QAZI MAZHAR UL HAQ,卡其,"201 ,70112 202 ,70112 209 ,70112"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN102,A,資訊概論,Introduction to Computer Science *Teaching in English,Department Compulsory Courses,QAZI MAZHAR UL HAQ,卡其,"206 ,70112 207 ,70112 208 ,70112"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN103,A,程式設計（一）,Computer ProgrammingI *Teaching in English,Department Compulsory Courses,張經略,,"108 ,70206 109 ,70206 110 ,70206"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN104,A,智慧財產權,Intellectual Property *Teaching in English,Department Elective Courses,葉志良,Chih-Liang Yeh,"406 ,1109 407 ,1109 408 ,1109"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN111,A,英語聽與讀（一）,English Listening and Reading I *Teaching in English,Department Elective Courses,趙乙勵,I-Li Chao,"502 ,3310 503 ,3310"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN101,A1,微積分（一）,CalculusI *Teaching in English,Department Compulsory Courses,QAZI MAZHAR UL HAQ,卡其,"201 ,70112 202 ,70112 209 ,70112"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN102,A,資訊概論,Introduction to Computer Science *Teaching in English,Department Compulsory Courses,QAZI MAZHAR UL HAQ,卡其,"206 ,70112 207 ,70112 208 ,70112"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN103,A,程式設計（一）,Computer ProgrammingI *Teaching in English,Department Compulsory Courses,張經略,,"108 ,70206 109 ,70206 110 ,70206"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN104,A,智慧財產權,Intellectual Property *Teaching in English,Department Elective Courses,葉志良,Chih-Liang Yeh,"406 ,1109 407 ,1109 408 ,1109"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN111,A,英語聽與讀（一）,English Listening and Reading I *Teaching in English,Department Elective Courses,趙乙勵,I-Li Chao,"502 ,3310 503 ,3310"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN101,A1,微積分（一）,CalculusI *Teaching in English,Department Compulsory Courses,QAZI MAZHAR UL HAQ,卡其,"201 ,70112 202 ,70112 209 ,70112"
"International Bachelor Program in Informatics(Undergraduate Program), Freshmen",IN102,A,資訊概論,Introduction to Computer Science *Teaching in English,Department Compulsory Courses,QAZI MAZHAR UL HAQ,卡其,"206 ,70112 207 ,70112 208 ,70112"
